disease,age_group,morbidity_min,morbidity_max,mortality_min,mortality_max,key_symptoms,risk_factors,description,reference,sample_type,gold_standard_test,other_tests,notify_authority
African Swine Fever (ASF),all ages,80,100,90,100,fever;anorexia;skin hemorrhage/red-purple skin;sudden death;cyanosis of ears and limbs;vomiting;bloody diarrhea,poor biosecurity;introduction of new pigs;swill feeding;tick exposure;nearby outbreak,ไข้สูง ตายเฉียบพลันในสุกรทุกวัย ผิวหนังแดงคล้ำ/มีจุดเลือดออกโดยเฉพาะใบหูและขาหลัง อัตราตายสูงมากเกือบ 100% ไม่มีวัคซีนใช้จริงในสนาม,OIE Terrestrial Manual - African Swine Fever,"เลือดใส่ EDTA (สำหรับ PCR), ซีรั่ม, และตัวอย่างเนื้อเยื่อจากซากสัตว์ตาย (ม้าม ต่อมน้ำเหลือง ไขกระดูก ปอด ทอนซิล)",Real-time PCR (ตรวจหาสารพันธุกรรมไวรัส) — เป็นวิธีหลักในการยืนยันโรคช่วงติดเชื้อเฉียบพลัน,"ELISA ตรวจแอนติบอดี (ใช้ตรวจ subclinical/สัตว์หายป่วยแล้ว) ควรยืนยันผล ELISA บวกด้วย IFA/IPT/Immunoblot ซ้ำ, Virus isolation ในห้องแล็บอ้างอิง",Yes
Classical Swine Fever (CSF/Hog Cholera),all ages,60,100,20,90,fever;huddling;conjunctivitis;constipation then diarrhea;skin hemorrhage;posterior weakness;abortion,unvaccinated herd;new pig introduction;poor biosecurity,ไข้สูง ซึม เบื่ออาหาร ท้องผูกสลับท้องเสีย มีจุดเลือดออกที่ผิวหนัง ขาหลังอ่อนแรง แม่สุกรอาจแท้ง อาการคล้าย ASF แยกได้ยากในสนาม ต้องตรวจแล็บ,OIE Terrestrial Manual - Classical Swine Fever,"เลือดใส่ EDTA, ซีรั่ม, ม้าม ต่อมน้ำเหลือง ไต ต่อมทอนซิลจากซากตาย",RT-PCR หรือ Virus isolation ในเซลล์เพาะเลี้ยง ร่วมกับ Fluorescent Antibody Test (FAT) ยืนยันเชื้อ,"ELISA ตรวจแอนติเจน/แอนติบอดีสำหรับคัดกรองเบื้องต้น, Virus Neutralization Test (VNT) ยืนยันภูมิคุ้มกัน",Yes
Porcine Circovirus Associated Disease (PCVAD/PCV2),nursery-grower 2-4 months,10,40,4,20,wasting/poor growth;pale skin or jaundice;enlarged lymph nodes;respiratory distress;diarrhea;rough hair coat,concurrent PRRS infection;poor management;high stocking density;co-infection,สุกรหย่านมถึงระยะรุ่น ผอมแห้งโตช้า ต่อมน้ำเหลืองโต หายใจลำบาก ผิวซีดหรือเหลือง มักพบร่วมกับการติดเชื้ออื่น (PRDC),Straw's Diseases of Swine - PCV2,"ซีรั่ม, ต่อมน้ำเหลืองที่บวมโต, ปอด (จากซากตาย)",Quantitative PCR (qPCR) วัดปริมาณไวรัสในเลือด/เนื้อเยื่อ ร่วมกับพยาธิสภาพ (histopathology) ที่ต่อมน้ำเหลือง,"Immunohistochemistry (IHC) ยืนยันเชื้อในชิ้นเนื้อ, ELISA ตรวจแอนติบอดี (ใช้ประเมินภูมิคุ้มกันฝูง ไม่ใช่การวินิจฉัยโรคเฉียบพลัน)",No
Porcine Reproductive and Respiratory Syndrome (PRRS),all ages (sows and nursery mainly),50,90,2,20,reproductive failure/abortion;stillbirth;respiratory distress in nursery;fever;blue discoloration of ears,new gilt introduction;poor ventilation;concurrent infections;multi-source pig flow,ในแม่พันธุ์: แท้ง คลอดก่อนกำหนด ลูกตายแรกเกิด ในลูกสุกรหย่านม: ระบบทางเดินหายใจ ไข้ หูเขียวคล้ำในบางราย,Straw's Diseases of Swine - PRRS,"ซีรั่ม (สำหรับ ELISA), เลือดใส่ EDTA หรือน้ำลาย/oral fluid (สำหรับ PCR)",RT-PCR ตรวจหาไวรัสในเลือด/oral fluid สำหรับยืนยันการติดเชื้อ,"ELISA (เช่น IDEXX HerdChek X3) ตรวจแอนติบอดีสำหรับติดตามภูมิคุ้มกันฝูง S/P ratio ≥0.4 ถือว่า Positive, Virus sequencing (ORF5) เพื่อดูสายพันธุ์",No
Porcine Epidemic Diarrhea (PED),suckling piglets 0-3 weeks,50,100,50,100,watery diarrhea;vomiting;dehydration;rapid weight loss;high mortality in neonates,cold season;poor biosecurity;contaminated fomites,ท้องเสียเป็นน้ำรุนแรงในลูกสุกรดูดนม อาเจียนร่วมด้วย ขาดน้ำเร็ว ตายสูงในลูกอายุน้อยกว่า 1 สัปดาห์ พบบ่อยช่วงอากาศเย็น,OIE/FAO - Porcine Epidemic Diarrhea,"อุจจาระหรือ swab ทวารหนักจากลูกสุกรที่ท้องเสีย, ลำไส้เล็กจากซากตาย",RT-PCR ตรวจหาสารพันธุกรรมไวรัสในอุจจาระ/ลำไส้,"Immunohistochemistry บนชิ้นเนื้อลำไส้, ELISA ตรวจแอนติบอดีในซีรั่มแม่สุกรเพื่อประเมินภูมิคุ้มกันฝูง",No
Transmissible Gastroenteritis (TGE),suckling piglets,50,100,50,100,watery diarrhea;vomiting;dehydration,cold weather;poor colostrum intake,คล้าย PED อาการท้องเสียรุนแรงในลูกสุกรดูดนม แยกจาก PED ต้องตรวจแล็บ,Straw's Diseases of Swine - TGE,"อุจจาระ, ลำไส้เล็กจากซากตาย",RT-PCR แยกจาก PED/PDCoV ด้วยชุด multiplex PCR,"Virus isolation, ELISA ตรวจแอนติบอดี",No
Foot and Mouth Disease (FMD),all ages,50,100,1,5,vesicles/blisters on mouth and feet;lameness;drooling/excessive salivation;fever;anorexia,unvaccinated herd;contact with infected ruminants,ตุ่มน้ำใสที่ปาก ลิ้น เต้านม และไรกีบ น้ำลายไหลมาก เดินกะเผลก อัตราป่วยสูงแต่ตายต่ำในสุกรโต ยกเว้นลูกสุกรอาจตายจากกล้ามเนื้อหัวใจอักเสบ,OIE Terrestrial Manual - FMD,"น้ำเหลืองจากตุ่มน้ำ (vesicular fluid), ชิ้นเนื้อเยื่อบุตุ่มน้ำ (epithelium), น้ำลาย",Virus isolation ร่วมกับ RT-PCR เพื่อยืนยันและระบุ serotype,"ELISA ตรวจแอนติเจน (คัดกรองเร็วในสนาม), NSP-ELISA แยกสัตว์ติดเชื้อจากสัตว์ที่ได้วัคซีน, VNT ยืนยันภูมิคุ้มกันต่อ serotype จำเพาะ",Yes
Streptococcus suis infection,nursery-grower,5,30,5,20,sudden death;fever;neurological signs/paddling;lameness/arthritis;meningitis,stress;poor ventilation;overcrowding;concurrent viral infection,พบบ่อยในสุกรหย่านม อาการทางประสาท ชักกระตุก ขาบวมจากข้ออักเสบ อาจตายเฉียบพลัน เป็นโรคติดต่อจากสัตว์สู่คนได้,Straw's Diseases of Swine - Streptococcus suis,"เลือด (สำหรับเพาะเชื้อกรณีติดเชื้อในกระแสเลือด), น้ำไขสันหลัง (CSF) กรณีมีอาการทางประสาท, ข้อที่บวม",การเพาะเชื้อแบคทีเรีย (bacterial culture) จากเลือด/CSF/ข้อ ร่วมกับ PCR ยืนยันชนิดและ serotype,Antimicrobial susceptibility test เพื่อเลือกยาปฏิชีวนะที่เหมาะสม,No
Actinobacillus pleuropneumoniae (Pleuropneumonia/App),grower-finisher,5,40,2,10,sudden death;severe respiratory distress;bloody froth from nose/mouth;fever;cyanosis,poor ventilation;temperature fluctuation;high stocking density,ปอดอักเสบรุนแรงเฉียบพลัน หายใจลำบากมาก มีเลือดปนฟองออกจากจมูก/ปาก บางตัวตายเฉียบพลันโดยไม่ทันแสดงอาการ พบสัมพันธ์กับความเครียดจากอากาศเปลี่ยนแปลง,Straw's Diseases of Swine - App,"swab จากรอยโรคปอด, ปอดจากซากตาย, น้ำในช่องอก",การเพาะเชื้อแบคทีเรียจากปอด ร่วมกับ PCR ระบุ serotype (มีมากกว่า 15 serotypes),ELISA ตรวจแอนติบอดีต่อ ApxToxin เพื่อประเมินการสัมผัสเชื้อในฝูง,No
Mycoplasma hyopneumoniae (Enzootic Pneumonia),grower-finisher,30,80,1,5,chronic dry cough;reduced growth rate;mild respiratory distress,poor ventilation;overcrowding;temperature fluctuation,ไอแห้งเรื้อรัง โตช้า อาการไม่รุนแรงแต่ส่งผลต่อ FCR มักเป็นโรคพื้นฐานที่นำไปสู่ PRDC เมื่อร่วมกับเชื้ออื่น,Straw's Diseases of Swine - Mycoplasma hyopneumoniae,"Bronchoalveolar lavage (BAL), swab จากหลอดลม, ปอดจากซากตาย (รอยโรคลักษณะ purple-grey consolidation)",PCR ตรวจหาสารพันธุกรรมเชื้อจากปอด/BAL (เพาะเชื้อทำได้ยากและช้ามากในทางปฏิบัติ),"ELISA ตรวจแอนติบอดีในซีรั่มเพื่อประเมินการสัมผัสเชื้อระดับฝูง, Histopathology ดูลักษณะปอดอักเสบเรื้อรัง",No
